Country / Economy,sum(Original Principal Amount (US$)),sum(Cancelled Amount (US$)),sum(Undisbursed Amount (US$)),sum(Disbursed Amount (US$)),sum(Borrower's Obligation (US$))
Bulgaria,3301265000,356017280.8,-0.02,2972458203,51153219.5
Burundi,4800000,0,0,4800000,0
Bolivia,2226201255,168187741.4,769274859.8,1288738654,990030118.8
Brazil,71810876526,7390324196,7295759898,58026098543,15591786092
"Bahamas, The",142800000,3548186.46,0,139251813.5,100000000
Bhutan,215000000,0,215000000,0,0
Botswana,1326600000,143038540.4,136014446.7,1047547013,653109793.4
Belarus,2196420000,471325863.3,0,1732015297,1013926419
Belize,212400000,6433909.63,61489074.02,144477016.4,47868768.78
"Congo, Republic of",820600000,28666862.8,308283606.2,498688876.9,303310162.4
Cote d'Ivoire,3054000000,445441489.4,0,2590594061,175745429.2
Chile,5094107000,606141674.6,694420589.1,3914438736,205669010.9
Cameroon,2447100000,300403980.1,262875116.4,1922976267,887745499.7
